shot,ammo_before,ammo_after,keyframe,time_sec,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
13,33,32,564,4.7,1271.929774040772,698.5148560080779,-8.070225959228083,-21.485143991922087,-1.5,42.851375579833984,1322.701334016494,343.86003014397636,43.200607503980336,376.0918164726436,0.6360349284418589,29.484284558262004,52.078470198840705,355.192194880997,-8.877862694860369,20.899621591646564,-9.316968916230508,28.06269048090735,0.5542144987679203,-3.528240712225729
14,32,31,577,4.808333333333334,1278.8594562614526,700.6278917843941,-1.1405437385474215,-19.372108215605863,-1.0,67.00558471679688,1334.8368094188452,305.98781358001463,55.33608290633151,413.9640330366053,12.135475402351176,37.87221656396173,57.156703333928135,394.7456997407944,-1.820620427596623,19.218333295810908,-7.481083719258095,39.17016192018832,-0.0316945439126567,-3.496546168313072
15,31,30,590,4.916666666666667,1292.847273056328,702.757747231956,12.84727305632805,-17.242252768043954,-1.75,59.347801208496094,1358.8725595738072,245.04100109744712,79.3718330612935,474.9108455191728,24.03575015496199,60.94681248256751,67.01023227938913,457.0248723093485,12.361600781904372,17.88597320982433,-13.323017215443997,61.63022457187526,-0.28879738542684275,-3.207748782886231
16,30,29,603,5.025,1285.7318775747372,705.030834350798,5.731877574737155,-14.969165649201955,-1.75,75.17509841918945,1339.8240706996332,223.18015262264834,60.323344187119574,496.7716939939716,-19.048488874173927,21.860848474798786,54.79031415655004,481.6017122803698,5.533030030569535,15.169981713601828,11.070718179548749,25.115466567019666,-0.558140564095979,-2.649608218790255
17,29,28,616,5.133333333333334,1272.4117056561186,704.4977064859029,-7.588294343881444,-15.502293514097119,-1.25,32.98143482208252,1334.8842400092808,177.57513885737887,55.38351349676714,542.3767077592411,-4.939830690352437,45.60501376526946,63.2571182113179,527.3318751603692,-7.8736047145507655,15.044832598871835,-10.799538414037443,45.236097731533164,0.2883282482810737,-2.9379364670713266
18,28,27,629,5.241666666666666,1273.5370725728985,701.7799372989296,-6.4629274271014765,-18.220062701070447,-1.25,31.282660484313965,1347.534651704208,146.85452593347202,68.03392519169438,573.0973206831479,12.650411694927243,30.720612923906856,74.9732300604287,555.3014927899942,-6.939304868734325,17.795827893153728,-13.211208215195484,27.295251687849486,0.1613858940326959,-3.099322361104021
19,27,26,642,5.35,1275.776939091452,702.077017215245,-4.22306090854795,-17.92298278475505,-1.5,55.823299407958984,1357.4645634457963,103.47713994711171,77.96383693328266,616.4747066695082,9.929911741588285,43.37738598636031,82.65458023099791,598.8556225464399,-4.690743297715244,17.61908412306832,-10.03492966240401,43.07279357035941,0.013266674628707061,-3.112589035732728
20,26,25,655,5.458333333333333,1282.7940010927505,705.7279260834287,2.7940010927504773,-14.272073916571344,-1.5,53.96687316894531,1370.4129512073218,80.02721997166225,90.91222469480817,639.9246266449577,12.94838776152551,23.44991997544946,88.51264577615325,625.5544800156928,2.3995789186549246,14.370146629264923,-7.508417186228144,26.282495951723718,0.4557463164836332,-3.568335352216358
21,25,24,668,5.566666666666666,1286.3163070355151,708.5741127639775,6.316307035515138,-11.425887236022504,-2.0,46.46302604675293,1388.632257996772,43.41552700082616,109.1315314842584,676.5363196157938,18.21930678945023,36.61169297083609,103.04302837017963,664.7858652050982,6.088503114078776,11.750454410695625,-16.955916882994188,38.24565968662671,0.017952753065086247,-3.5862881052814437
22,24,23,682,5.683333333333334,1277.172511969074,704.9563039988036,-2.827488030925906,-15.043696001196395,-1.5,38.55913257598877,1381.9727972753951,-4.505289974413586,102.47207076288146,724.4571365910335,-6.659460721376945,47.920816975239745,105.67251916569217,709.6520231325401,-3.200448402810707,14.805113458493452,-5.240702200245096,44.63654768754145,-0.24406586187299953,-3.342222243408446
23,23,22,694,5.783333333333333,1288.3487383438837,706.0460231558278,8.348738343883724,-13.953976844172189,-2.0,39.73489761352539,1394.4328997526457,-28.128338760296174,114.93217324013199,748.0801853769161,12.46010247725053,23.623048785882588,106.92132186434173,733.7064422369442,8.010851375790253,14.373743139971907,-2.6647294809724826,23.938959948663523,0.03753992667859985,-3.379762170087045
24,22,21,708,5.9,1276.83980253252,705.8416293538456,-3.160197467479975,-14.158370646154367,-1.75,45.43195343017578,1385.6107801028766,-55.404661355290386,106.1100535903629,775.3565079719103,-8.822119649769093,27.276322594994213,109.54187971642523,761.4406804323692,-3.431826126062333,13.91582753954117,-4.136006714852783,27.549024305615376,-0.2393149226786396,-3.1404472474084075
25,21,20,721,6.008333333333334,1288.7381690887119,704.5236570240266,8.738169088711857,-15.476342975973353,-1.75,66.51810455322266,1399.5595999576665,-89.56513108956392,120.05887344515281,809.5169777061839,13.948819854789917,34.16046973427353,111.60122496521808,793.6737164762436,8.457648479934733,15.843261229940254,-3.658421009131189,32.09089389810424,-0.2923182449376972,-2.8481290024707127
26,20,19,734,6.116666666666666,1273.3570075284672,704.2403725553144,-6.642992471532807,-15.759627444685634,-0.25,48.15878963470459,1361.7856384059248,-121.58785715504337,82.28491189341116,841.5397037716633,-37.77396155174165,32.022726065479446,89.41755340515806,826.2826593576737,-7.132641511746897,15.25704441398966,20.064700064891213,33.95388418185655,0.7985651552987478,-3.646694157769454
27,19,18,747,6.225,1283.7677711562549,708.1662267356767,3.7677711562548666,-11.833773264323327,0.5,75.34098815917969,1355.2851277094646,-147.99312939055085,75.78440119695097,867.9449760071708,-6.500510696460196,26.405272235507482,72.32386378050637,855.9322336899667,3.460537416444595,12.012742317204129,15.055563467733464,30.734695243960573,0.21960124601813033,-3.8662954037875816
28,18,17,760,6.333333333333333,1272.3609303224002,705.9200072134198,-7.639069677599764,-14.079992786580192,1.0,53.764116287231445,1334.2779061195681,-185.82825669302133,54.77717960705445,905.7801033096413,-21.007221589896517,37.83512730247048,62.981921947646015,892.3805174453283,-8.204742340591565,13.39958586431294,6.4981364833411135,37.06107780628861,0.5646186390985042,-4.430914042886081
29,17,16,773,6.441666666666666,1286.9366099962472,706.714679486917,6.936609996247171,-13.28532051308298,1.75,66.46042060852051,1337.6764049515582,-192.2344342466538,58.17567843904453,912.1862808632737,3.398498831990082,6.40617755363246,51.847720921907694,898.4270904811832,6.327957517136838,13.759190382090537,10.603312588660856,6.935505757090027,0.2525774599260129,-4.683491502812092
30,16,15,786,6.55,1274.4001596536627,705.5060857393212,-5.59984034633726,-14.493914260678821,2.0,41.901227951049805,1313.8167769754098,-219.76294226587902,34.3160504628961,939.714788882499,-23.85962797614843,27.528508019225228,40.59623886387112,925.7818600830409,-6.280188400975021,13.932928799458068,8.950383639279153,28.191663682421336,0.06093135250053359,-4.744422855312625
31,15,14,799,6.658333333333333,1277.1481250800516,707.7681193203007,-2.8518749199483864,-12.231880679699316,1.75,52.02739906311035,1314.6612021238002,-231.26897014104497,35.16047561128653,951.2208167576649,0.8444251483904281,11.506027875165955,38.50236515864731,939.3108113337221,-3.341889547360779,11.910005423942835,0.9821552778651039,13.654750090971788,-0.06063846396339478,-4.683784391349231
32,14,13,812,6.766666666666667,1283.1406397022638,705.3665716813523,3.1406397022637975,-14.633428318647702,1.5,69.10783767700195,1308.3317770141648,-245.12371090552858,28.831050501651134,965.0755575221485,-6.329425109635395,13.854740764483608,26.54674084393241,950.2638829130046,2.2843096577187225,14.811674609143893,10.900462484278933,12.003609765579654,0.5795024890627127,-5.263286880411939
33,13,12,825,6.875,1276.8599336171126,705.9495022718703,-3.140066382887426,-14.050497728129699,1.5,41.777570724487305,1309.4980339077488,-233.40376146730546,29.99730739523511,953.3556080839254,1.1662568935839772,-11.719949438223125,33.76438782472337,939.6533168362314,-3.76708042948826,13.702291247694006,-6.335679804645906,-11.159646133363253,-0.6234260005227189,-4.639860879889225
34,12,11,839,6.991666666666666,1274.9480788737328,700.6525042988776,-5.051921126267189,-19.347495701122398,1.5,82.68049240112305,1300.1954839786745,-255.8118974207523,20.69475746616081,975.7637440373722,-9.302549929074303,22.408135953446845,26.66368304412231,956.890747936096,-5.9689255779615,18.87299610127627,5.807151032651063,17.715135793659897,-0.4008954864851732,-4.2389653934040545
35,11,10,851,7.091666666666667,1281.0892167632915,698.8236680798104,1.0892167632914607,-21.17633192018957,2.0,51.136322021484375,1295.575242719217,-251.26649356388896,16.074516206703265,971.2183401805089,-4.6202412594575435,-4.545403856863345,15.9784593698771,950.0660019874159,0.09605683682616473,21.152338193092987,11.138864740679765,-6.05614188419554,-0.2049297202720477,-4.034035673132009
36,10,9,865,7.208333333333333,1281.7915054208017,700.833751706279,1.791505420801741,-19.16624829372097,1.5,79.84941864013672,1275.3091880045051,-276.4790997810585,-4.191538508008534,996.4309463976784,-20.2660547147118,25.212606217169537,-5.278722948130962,977.2382857119736,1.087184440122428,19.192660685704823,19.51410096542145,28.44996777538131,-0.4441583048007715,-3.5898773683312406
37,9,8,878,7.316666666666666,1273.009106052441,703.0036733603436,-6.990893947559016,-16.996326639656445,1.5,73.82637786865234,1262.2695955010092,-264.57338160235486,-17.23113101150443,984.5252282189748,-13.039592503495896,-11.905718178703637,-9.644586262776556,968.0698286249254,-7.586544748727874,16.455399594049368,4.9552373357307715,-8.863802275874036,0.1541489669605063,-3.744026335291746
38,8,7,891,7.425,1287.0152008319965,703.2595425360439,7.015200831996481,-16.74045746395609,1.75,89.54317092895508,1277.1604849601715,-282.45679289627253,-2.3402415523421496,1002.4086395128925,14.890889459162281,17.883411293917675,-8.605323041168504,985.2459992798395,6.265081488826354,17.162640233053025,-2.298895444255322,17.05332771475696,0.47099646313902754,-4.21502279843077
39,7,6,904,7.533333333333333,1282.4448841885248,703.3579013323405,2.4448841885248385,-16.642098667659525,2.25,68.68090438842773,1263.3566779664156,-297.1673311668728,-16.14404854609802,1017.1191777834928,-13.80380699375587,14.710538270600296,-17.771082383140765,1000.3844510995726,1.6270338370427453,16.734726683920144,7.946115545285693,15.812751675603522,0.29816558182980923,-4.513188380260578
40,6,5,917,7.641666666666667,1271.7706549690076,701.229524898737,-8.229345030992363,-18.770475101262946,1.5,73.57857513427734,1238.8906794137683,-311.0414412348357,-40.610047098745326,1030.9932878514555,-24.465998552647306,13.874110067962874,-31.363704274006068,1013.0115821710177,-9.246342824739259,17.981705680437926,12.507769823808303,13.702536370983239,0.20561839721562128,-4.718806777476197
41,5,4,930,7.75,1279.8826342314594,702.0675486396023,-0.11736576854059422,-17.93245136039775,1.75,81.51981735229492,1249.2223623982711,-315.6125964858895,-30.27836411424255,1035.5644431025094,10.331682984502777,4.571155251053824,-29.197105360834712,1017.7495479120277,-1.0812587534078375,17.81489519048182,-2.546060317253705,4.545332449276202,-0.037401556402418344,-4.681405221073779
42,4,3,943,7.858333333333333,1290.0490328781757,704.5591403818007,10.049032878175694,-15.440859618199283,1.75,83.72860717773438,1243.3748859007028,-313.12076711264933,-36.12584061181087,1033.0726137292693,-5.847476497568323,-2.4918293732401935,-45.27865292516776,1016.8567124729002,9.15281231335689,16.21590125636908,16.0978020887801,0.5235409207838302,0.359097033249374,-5.040502254323151
43,3,2,956,7.966666666666667,1280.573619845168,703.1467684708084,0.5736198451679684,-16.85323152919159,1.75,45.86972427368164,1230.1239880850742,-316.62636018743467,-49.37673842743948,1036.5782068040546,-13.250897815628605,3.505593074785338,-49.00643473970649,1019.7858053201019,-0.37030368773298505,16.792401483952744,3.4636659591119496,3.237122223213646,-0.13523072659792396,-4.905271527725229
44,2,1,969,8.075,1270.8739681968761,701.4206555102805,-9.126031803123851,-18.57934448971946,1.75,57.32830047607422,1214.3356298116482,-325.1111571905591,-65.16509670086543,1045.063003807179,-15.788358273425956,8.484797003124413,-55.08646089092963,1027.3183402962388,-10.078635809935804,17.7446635109402,5.4602814461989055,7.9931925846045715,-0.33351615011415214,-4.571755377611078
45,1,0,982,8.183333333333334,1278.8969416400926,703.1801966504024,-1.1030583599074362,-16.819803349597578,2.25,48.87060737609863,1219.7969286682805,-333.13504040111934,-59.70379784423312,1053.0868870177392,5.461298856632311,8.023883210560257,-57.87302990552689,1036.4409267853348,-1.8307679387062308,16.64596023240449,2.1120262748895584,9.301929699708921,-0.37829946911622914,-4.193455908494851
