shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
11,35,34,283,2.3583333333333334,775,1257.5828683807306,698.4160180518141,-22.417131619269412,-21.58398194818585,-0.25,72.09931945800781,1246.1676142463023,526.866437410284,-10.592182599745911,158.08648211107618,19.997906661687693,10.690731106775388,-11.328658484907919,171.63988152324487,0.7364758851620081,-13.553399412168687,-20.638214036703403,14.453561503975948,-0.1086462074697999,-0.23035411910976583,-10.592182599745911,158.08648211107618,19.997906661687693,10.690731106775388,
12,34,33,291,2.425,842,1270.6737588067258,717.3060036615005,-9.3262411932742,-2.69399633849946,-1.0,86.3492374420166,1263.1845188557763,541.2272194167693,6.424722009728157,143.72570010459083,17.016904609474068,-14.360782006485351,-7.501585593965956,176.03640693442776,13.926307603694113,-32.31070682983693,-3.8070429234710446,4.413881147313532,-0.4908711826673962,0.2605170635576297,6.424722009728157,143.72570010459083,17.016904609474068,-14.360782006485351,
13,33,32,300,2.5,917,1271.340960918821,703.6602910743741,-8.65903908117889,-16.339708925625928,-1.0,86.18771171569824,1266.5439254571097,511.9212595213511,9.784128611061533,173.03166000000908,3.359406601333376,29.305959895418255,-5.00351412890268,191.63127052027983,14.787642739964213,-18.599610520270744,-2.3014624736954374,15.625088856965476,-0.4611186612835745,0.7216357248412034,9.784128611061533,173.03166000000908,3.359406601333376,29.305959895418255,
14,32,31,310,2.5833333333333335,1000,1267.9820805708655,702.766204996534,-12.017919429134508,-17.233795003465957,-1.25,74.73826217651367,1263.7731169264846,486.7984711957299,7.013320080436415,198.15444832563026,-2.770808530625118,25.122788325621173,-4.331778090312582,215.8827368410515,11.345098170748997,-17.72828851542124,-0.4993213938957979,24.255628752078678,0.3143307790061455,0.40730494583505866,7.013320080436415,198.15444832563026,-2.770808530625118,25.122788325621173,
15,31,30,319,2.658333333333333,1075,1268.905579922648,714.3833947116821,-11.09442007735197,-5.616605288317942,-1.0,90.1476879119873,1263.943314824493,492.2457247968903,7.183517978444797,192.7071947244699,0.17019789800838225,-5.447253601160355,-4.952788172641931,222.15642890589186,12.136306151086728,-29.449234181421957,0.6104058645662462,6.274732689708571,0.5041420851754248,-0.09683713934036495,7.183517978444797,192.7071947244699,0.17019789800838225,-5.447253601160355,
16,30,29,328,2.7333333333333334,1150,1270.5839477369436,700.4998180634477,-9.416052263056372,-19.50018193655228,-0.5,70.9606819152832,1273.0817245779028,463.2011669192591,16.321927731854657,221.75175260210108,9.13840975340986,29.044557877631178,2.4839295175829648,237.29197074843592,13.837998214271693,-15.540218146334837,-7.425969720116882,15.140818029003867,-0.13751662011384758,0.04067948077348228,16.321927731854657,221.75175260210108,9.13840975340986,29.044557877631178,
17,29,28,338,2.816666666666667,1233,1267.3101692726368,713.9877018346592,-12.689830727363187,-6.0122981653407805,0.0,74.11614990234375,1266.947481720729,459.3322251363179,10.187684874680826,225.62069438504227,-6.134242857173831,3.8689417829411923,-0.37909722253834843,254.62096315528095,10.566782097219175,-29.000268770238677,2.910177583514269,17.321136405662173,-0.11525313777788053,0.1559326185513626,10.187684874680826,225.62069438504227,-6.134242857173831,3.8689417829411923,
18,28,27,347,2.8916666666666666,1308,1268.206564085694,701.5436961319122,-11.793435914305974,-18.456303868087844,0.0,63.12922286987305,1245.2221292836325,434.6382568575755,-11.537667562415663,250.31466266378465,-21.72535243709649,24.693968278742375,-22.981400297520395,266.90737865070327,11.443732735104732,-16.59271598691862,22.600282584772003,12.290131696118578,0.1653534342914675,-0.009420815740104525,-11.537667562415663,250.31466266378465,-21.72535243709649,24.693968278742375,
19,27,26,356,2.966666666666667,1383,1268.875346072903,716.005409962128,-11.124653927096915,-3.9945900378719443,1.25,79.30773162841797,1250.5021152543477,442.6442390877702,-6.257681591700475,242.30868043358998,5.279985970715188,-8.005982230194661,-18.338303828895732,273.4598106647685,12.080622237195257,-31.151130231178513,-4.700921259899133,6.511071296194814,0.4978083362639283,-0.5072291520040316,-6.257681591700475,242.30868043358998,5.279985970715188,-8.005982230194661,
20,26,25,365,3.0416666666666665,1458,1270.2404817600368,714.5144848183894,-9.7595182399632,-5.4855151816105945,1.5,66.47861671447754,1239.2863588911107,431.29734648548833,-17.47343795493748,253.65557303587184,-11.215756363237006,11.346892602281855,-30.89530601066849,283.3231211014762,13.42186805573101,-29.667548065604365,12.449481262165818,9.998680556298154,0.11309483550486736,-0.6203239875088987,-17.47343795493748,253.65557303587184,-11.215756363237006,11.346892602281855,
21,25,24,374,3.1166666666666667,1533,1267.8774987293978,701.5215723621402,-12.122501270602243,-18.478427637859795,1.75,51.21962261199951,1229.6698035403288,406.25975224143565,-27.089993305719418,278.6931672799245,-9.616555350781937,25.037594244052684,-38.140516737008966,295.30606664623133,11.050523431289548,-16.612899366306806,7.201546575140355,12.009237666218837,-0.411775328497639,-0.20854865901126074,-27.089993305719418,278.6931672799245,-9.616555350781937,25.037594244052684,
22,24,23,383,3.191666666666667,1608,1308.2484652188532,731.2915979789623,28.248465218853198,11.291597978962272,-0.25,59.35613250732422,1263.5079056084198,422.8455523818223,6.748108762371658,262.10736713953787,33.838102068091075,-16.585800140386652,-44.778175254466305,308.35148300963425,51.52628401683796,-46.24411587009638,6.593980630650549,13.067548283114093,-0.016877106424859654,-0.19167155258640112,6.748108762371658,262.10736713953787,33.838102068091075,-16.585800140386652,
