shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
14,57,56,258,2.15,717,1265.6408849253191,725.848475181111,-14.359115074680858,5.8484751811109845,-1.75,73.5358829498291,1278.9766425389505,400.9431708635968,-16.18233543299675,318.4633565297631,-18.296598500279515,51.96306647643968,13.399667009669656,324.74587235904033,-29.582002442666408,-6.2825158292772585,-12.624998532439122,30.432240029135755,-0.7479765653916223,0.6347467601177164,-16.18233543299675,318.4633565297631,-18.296598500279515,51.96306647643968,
15,56,55,265,2.2083333333333335,775,1272.174159579811,722.2420801658192,-7.825840420189024,2.242080165819175,-1.75,61.13241767883301,1297.2052937395392,378.13229777314876,2.0463157675919774,341.2742296202111,18.22865120058873,22.810873090448013,25.025648081515556,344.12884346926745,-22.979332313923578,-2.8546138490563635,-11.67317334888844,19.35458676669748,0.7743485889706407,-0.13960182885292774,2.0463157675919774,341.2742296202111,18.22865120058873,22.810873090448013,
16,55,54,272,2.2666666666666666,833,1277.0979819604481,718.7339010639541,-2.9020180395518764,-1.2660989360458643,-1.5,76.06214904785156,1309.4660578764071,367.23084542652396,14.307079904459897,352.1756819668359,12.26076413686792,10.901452346624808,32.35597019704301,351.4756624023448,-18.04889029258311,0.7000195644910718,-7.260501415847557,7.415826989843708,-0.6815645105445188,0.5419626816915946,14.307079904459897,352.1756819668359,12.26076413686792,10.901452346624808,
17,54,53,278,2.316666666666667,883,1264.2335145750524,715.2047242190911,-15.766485424947632,-4.7952757809089235,0.25,78.9261417388916,1298.8126737083596,359.56789081062607,3.6536957364123737,359.8386365827338,-10.653384168047523,7.662954615897888,34.58396795267913,355.65267299572565,-30.930272216266758,4.185963587008132,-2.232192368154756,4.174770500025943,0.5995153333038803,-0.05755265161228931,3.6536957364123737,359.8386365827338,-10.653384168047523,7.662954615897888,
18,53,52,285,2.375,942,1258.2846734046025,713.7556094473912,-21.715326595397528,-6.24439055260882,-2.0,73.97583961486816,1296.0875564984458,328.1691287811644,0.9285785264985407,391.2373986121955,-2.725117209913833,31.398762029461693,37.75799649698388,385.43244541337,-36.82941797048534,5.804953198825501,-2.962493144162181,29.801559301780458,-0.4643926590950765,0.40684000748278976,0.9285785264985407,391.2373986121955,-2.725117209913833,31.398762029461693,
19,52,51,291,2.425,992,1250.607576236188,750.4313210138312,-29.392423763812076,30.431321013831166,0.75,60.59696006774902,1298.9705509426176,361.95434090991444,3.8115729706703405,357.4521864834454,2.8829944441718,-33.78521212875006,48.51504622589982,388.3293621630994,-44.70347325522948,-30.877175679653988,-10.742403173069988,2.9507659331852665,0.1198257746561003,0.28701423282668886,3.8115729706703405,357.4521864834454,2.8829944441718,-33.78521212875006,
20,51,50,298,2.4833333333333334,1050,1250.6614697688271,719.0303909402295,-29.338530231172854,-0.9696090597705052,-1.25,63.496673583984375,1285.08502928656,298.3576047207523,-10.073948685387222,421.04892267260755,-13.885521656057563,63.59673618916213,34.423135274057586,420.6600333700817,-44.49708395944481,0.38888930252585396,14.105963192360377,32.32454264772207,0.2621087684812136,0.024905464345473784,-10.073948685387222,421.04892267260755,-13.885521656057563,63.59673618916213,
21,50,49,304,2.533333333333333,1100,1253.29810755004,723.116022639337,-26.70189244996004,3.116022639336961,-1.0,47.723899841308594,1283.0414983853068,304.16903388125985,-12.117479586640457,415.2374935121,-2.0435309012532343,-5.811429160507544,29.751625662793458,418.8755938987078,-41.869105249433915,-3.638100386607789,4.666722471974936,-1.7969217135685085,-0.12826686298495013,0.15317232733042457,-12.117479586640457,415.2374935121,-2.0435309012532343,-5.811429160507544,
22,49,48,311,2.591666666666667,1158,1260.3398676771596,724.7625711905263,-19.660132322840354,4.762571190526273,-0.5,60.433244705200195,1286.6739314322908,278.12522514548226,-8.485046539656423,441.2813022478776,3.6324330469840334,26.04380873577759,26.27813177282087,446.86258161749396,-34.763178312477294,-5.581279369616368,3.1521872438386254,28.024995217750416,0.8105071283096377,-0.6573348009792176,-8.485046539656423,441.2813022478776,3.6324330469840334,26.04380873577759,
23,48,47,318,2.65,1217,1269.0957138016415,716.1419653152603,-10.904286198358477,-3.858034684739664,0.5,79.38579940795898,1281.1503065070826,253.5064458484792,-14.00867146486462,465.90008154488066,-5.523624925208196,24.618779297003073,12.036584699184004,462.58499479434795,-26.045256164048624,3.315086750532714,14.314303071780387,15.656202180718651,-0.9230319396249157,0.26569713864570355,-14.00867146486462,465.90008154488066,-5.523624925208196,24.618779297003073,
